task_id,formula,n_atoms,converged,volume_A3,energy_eV,delta_h_f_eV_per_atom,lld_rmsd_A,lld_mean_abs_disp_A,lld_local_strain_mean,C11_GPa,C12_GPa,C44_GPa,elastic_B_GPa,elastic_G_GPa,elastic_E_GPa,elastic_nu,eos_n_fits_ok,eos_n_fits,eos_B_GPa__anton-schmidt,eos_B_GPa__birch,eos_B_GPa__birchmurnaghan,eos_B_GPa__murnaghan,eos_B_GPa__p3,eos_B_GPa__pouriertarantola,eos_B_GPa__sj,eos_B_GPa__taylor,eos_B_GPa__vinet,eos_V0_A3__anton-schmidt,eos_V0_A3__birch,eos_V0_A3__birchmurnaghan,eos_V0_A3__murnaghan,eos_V0_A3__p3,eos_V0_A3__pouriertarantola,eos_V0_A3__sj,eos_V0_A3__taylor,eos_V0_A3__vinet,has_cell_opt,has_elastic,has_eos,has_post
tile_02__sqs_002,Hf22N108Nb21Ta21Ti22Zr22,216,True,2399.514961782698,-2244.03511236029,-1.4233274131471063,0.10538376559833304,0.09687218965571186,0.043202746588110866,545.0356049212847,134.68616512599095,109.2291190702847,271.4693117244222,140.9845157953904,360.5395090276681,0.2786493147620408,9,9,285.5338246580586,285.49347014728266,285.4934702009464,285.0332297109373,288.54374799945066,286.0375408429767,285.65304553803225,288.5437427340872,285.7002408681305,2399.5222295725434,2399.523027854343,2399.5230282609864,2399.53331218107,2399.5042178804615,2399.5145723053897,2399.5199406666466,2399.50422616976,2399.5189567788716,True,True,True,True
tile_02__sqs_003,Hf22N108Nb21Ta21Ti22Zr22,216,True,2397.9885510109966,-2244.1199142440055,-1.4237200144606046,0.10765020793289985,0.0989610337989588,0.044134322559537635,535.3117896742217,142.33410317994074,111.0863234106417,273.32666534470104,139.85558293902557,358.4325780037579,0.28143821816547665,9,9,285.6327099873316,285.59234063911174,285.59234041877926,285.1328968191992,288.6419828922462,286.13543132580156,285.7513718941971,288.64198134444626,285.7989845716403,2398.186372345585,2398.187195154826,2398.187194957862,2398.197786821175,2398.1662752466054,2398.178346236788,2398.1839879119325,2398.1662770882726,2398.1829867990223,True,True,True,True
tile_02__sqs_004,Hf22N108Nb21Ta21Ti22Zr22,216,True,2399.3915375705164,-2244.3867204087237,-1.4249552281861515,0.10627597862750099,0.09701400449996263,0.04326599271478947,526.8574565511709,140.12403667030597,112.50824304449056,269.0351766305943,139.97922383864307,357.87084055083227,0.2782998459948504,9,9,285.53919078258485,285.49883273575955,285.49883293774616,285.0390455564285,288.5481852757723,286.04231970013785,285.65810801760955,288.5481853412706,285.70551424830415,2399.476858068602,2399.477665793522,2399.477666477225,2399.488079774184,2399.4579918712157,2399.4690492480795,2399.4745300621344,2399.4579932398237,2399.4735385629074,True,True,True,True
tile_02__sqs_005,Hf22N108Nb21Ta21Ti22Zr22,216,True,2400.0273750253036,-2244.3818651350844,-1.42493275006745,0.10531623220462874,0.09703919321326887,0.04327722629587934,541.5890588655801,132.37023283155906,112.05267673380527,268.77650817623277,142.94117433132772,364.25128029096095,0.27413001185596747,9,9,285.4975794619248,285.45725180782364,285.4572513120493,284.99543464796204,288.5118200525381,286.0035906019136,285.6179890670307,288.51181443997706,285.66431262201337,2399.853058222082,2399.8538284896217,2399.853827602222,2399.863838090946,2399.836982802401,2399.845724805958,2399.8508428124214,2399.8369903073376,2399.849885099415,True,True,True,True
tile_02__sqs_006,Hf22N108Nb21Ta21Ti22Zr22,216,True,2399.137317431168,-2244.214001433794,-1.424155603302216,0.11013635451622648,0.09988425858954776,0.044546059372893784,543.1981805561597,137.5346752222714,111.67520259248955,272.75584366690083,142.14427094131221,363.31928052274657,0.2779948080804182,9,9,285.4511412623673,285.41082233396054,285.410821832393,284.9496433529894,288.46436882439247,285.9564692853539,285.5712177390073,288.4643504382475,285.6177335598912,2399.1088224327746,2399.10961520852,2399.1096137360228,2399.1198684712836,2399.0911295684637,2399.1012040302735,2399.1065338664985,2399.091160832941,2399.1055650835406,True,True,True,True
tile_02__sqs_007,Hf22N108Nb21Ta21Ti22Zr22,216,True,2399.0370381554762,-2244.08703570026,-1.4235677989803008,0.10457192463147345,0.0975892301568245,0.043522529997292385,542.9981876793777,139.53547620346473,110.90600141059673,274.0230466954357,141.25124511896092,361.61891119844245,0.2800556586028294,9,9,285.4288387288276,285.3884969879667,285.38849656189024,284.9281415912241,288.43805439051266,285.93269739784586,285.5481802764509,288.4380542869043,285.59525312335205,2398.9686149950667,2398.9694009213276,2398.9694003818627,2398.979586558196,2398.951298228555,2398.9610480407423,2398.9663349895404,2398.951301071876,2398.965379296154,True,True,True,True
tile_02__sqs_008,Hf22N108Nb21Ta21Ti22Zr22,216,True,2399.981136631918,-2244.1714355453687,-1.4239585390039515,0.10764759025485059,0.09969394468759632,0.044461183792942255,543.4177004852895,132.18790914303813,109.86289927789379,269.2645062571219,141.58796156087723,361.4158482791341,0.2762944119501981,9,9,285.22277335167837,285.18249407905034,285.18249422307593,284.722565294847,288.2329985417366,285.72681729661076,285.3422977305258,288.2329963043665,285.3890500815135,2400.209726851708,2400.21055355891,2400.2105541265414,2400.2212355588645,2400.1892746636768,2400.201619087439,2400.2073122968677,2400.189275036124,2400.206314025049,True,True,True,True
tile_03__sqs_000,Hf22N108Nb21Ta21Ti22Zr22,216,True,2398.639522932101,-2244.2948069716754,-1.424529703014631,0.1123547928893378,0.10355194863955136,0.04618176394772786,551.7505253360642,135.7816724284821,112.30919739257814,274.4379567310095,144.10694279000677,367.92234526446885,0.2765600953751645,9,9,285.6406903139128,285.6003423016854,285.6003423216082,285.1396366932343,288.6544775158605,286.1453916041695,285.7603533205104,288.65447379521834,285.8072314265036,2398.765969646376,2398.7667836062633,2398.766783653659,2398.777279076607,2398.7466590635404,2398.758073090084,2398.763614797237,2398.7466631364982,2398.7626234663885,True,True,True,True
tile_03__sqs_001,Hf22N108Nb21Ta21Ti22Zr22,216,True,2399.876478122914,-2243.9048785318455,-1.4227244787561588,0.11305219059299475,0.10433862161475806,0.04653260182303923,540.4266140821823,143.1640683882062,114.73259439893536,275.5849169528649,143.17502833185154,366.1212515089611,0.2785792877943914,9,9,285.489740704312,285.449397941124,285.44939804618576,284.99030816642437,288.497804658943,285.9921669008044,285.6083210915729,288.49780483701,285.6559065113372,2400.145340901864,2400.1461751541933,2400.1461755390774,2400.1568850979797,2400.124514753874,2400.1371927909386,2400.142929190727,2400.1245150761474,2400.1419126571127,True,True,True,True
tile_03__sqs_002,Hf22N108Nb21Ta21Ti22Zr22,216,True,2398.5952494563066,-2244.101800355072,-1.42363615386369,0.10495066234134379,0.09711247923504764,0.043309910159417576,529.5602712463074,137.4186708424984,108.48736162886222,268.13253764376805,137.80465555235037,352.9488508519365,0.28061294241926193,9,9,285.4220669971488,285.3817287443488,285.3817285364123,284.9216877161454,288.4307320629626,285.9255567697365,285.5412276497021,288.4307471273915,285.5884138824705,2398.606373996966,2398.6071741792116,2398.607173558561,2398.6174530568105,2398.588384125933,2398.5987239173164,2398.6040911086743,2398.5883562566814,2398.6031022018597,True,True,True,True
